GO_0047060	R03156
GO_0047119	R03169
GO_0047107	R03177
GO_0047435	R03178
GO_0047941	R03183
GO_0047423	R03187
GO_0047509	R03198
GO_0047546	R03206
GO_0047861	R03207
GO_0047796	R03211
GO_0047564	R03212
GO_0047364	R03214
GO_0047871	R03216
GO_0047162	R03230
GO_0047531	R03248
GO_0047114	R03251
GO_0047069	R03253
GO_0047886	R03264
GO_0047885	R03265
GO_0047702	R03275
GO_0047095	R03281
GO_0047580	R03296
GO_0047913	R03297
GO_0047472	R03307
GO_0047768	R03308
GO_0047864	R03345
GO_0047124	R03349
GO_0047762	R03365
GO_0047353	R03375
GO_0047992	R03378
GO_0047333	R03395
GO_0046423	R03402
GO_0047860	R03431
GO_0047082	R03452
GO_0047647	R03454
GO_0047160	R03455
GO_0047431	R03461
GO_0047118	R03463
GO_0047289	R03468
GO_0047575	R03470
GO_0047388	R03474
GO_0047925	R03494
GO_0047521	R03495
GO_0047383	R03496
GO_0047832	R03498
GO_0047311	R03502
GO_0047097	R03510
GO_0047033	R03520
GO_0047651	R03523
GO_0047208	R03548
GO_0047596	R03567
GO_0047655	R03572
GO_0047644	R03573
GO_0047143	R03575
GO_0047674	R03577
GO_0047741	R03612
GO_0047877	R03614
GO_0047648	R03620
GO_0047716	R03621
GO_0047599	R03667
GO_0047818	R03671
GO_0047587	R03675
GO_0047122	R03687
GO_0047856	R03692
GO_0047510	R03693
GO_0047151	R03704
GO_0047512	R03707
GO_0047788	R03709
GO_0047212	R03710
GO_0047638	R03712
GO_0047743	R03716
GO_0047906	R03723
GO_0047870	R03726
GO_0047169	R03727
GO_0047129	R03732
GO_0047594	R03737
GO_0047452	R03742
GO_0047502	R03745
GO_0047976	R03766
GO_0047793	R03775
GO_0047699	R03781
GO_0047691	R03799
GO_0047845	R03803
GO_0047532	R03810
GO_0047998	R03812
GO_0047053	R03834
GO_0046404	R03840
GO_0047432	R03854
GO_0047920	R03860
GO_0047518	R03885
GO_0047433	R03894
GO_0047508	R03896
GO_0047703	R03900
GO_0047967	R03906
GO_0047548	R03908
GO_0047653	R03925
GO_0047567	R03930
GO_0047715	R03939
GO_0047650	R03944
GO_0047535	R03963
GO_0047544	R03964
GO_0047161	R03965
GO_0047630	R03969
GO_0047758	R04002
GO_0047378	R04043
GO_0047163	R04050
GO_0047574	R04056
GO_0047591	R04057
GO_0047062	R04059
GO_0047670	R04060
GO_0047717	R04066
GO_0047483	R04068
GO_0047807	R04071
GO_0047720	R04093
GO_0047032	R04099
GO_0047108	R04105
GO_0047109	R04106
GO_0047415	R04113
GO_0047649	R04126
GO_0047990	R04135
GO_0047048	R04136
GO_0047043	R04139
GO_0047374	R04141
GO_0046522	R04143
GO_0045439	R04147
GO_0047304	R04152
GO_0047149	R04153
GO_0047294	R04158
GO_0047538	R04167
GO_0047298	R04188
GO_0047709	R04202
GO_0047203	R04205
GO_0047189	R04211
GO_0047282	R04222
GO_0047199	R04227
GO_0047320	R04234
GO_0047336	R04235
GO_0046406	R04237
GO_0047732	R04266
GO_0047554	R04277
GO_0047136	R04303
GO_0047030	R04307
GO_0047382	R04317
GO_0047194	R04333
GO_0047227	R04334
GO_0047802	R04338
GO_0047024	R04344
GO_0047249	R04359
GO_0047200	R04364
GO_0047566	R04367
GO_0047027	R04370
GO_0047031	R04387
GO_0047414	R04397
GO_0047056	R04400
GO_0046523	R04420
GO_0047547	R04424
GO_0047456	R04425
GO_0047450	R04428
GO_0047240	R04431
GO_0047261	R04451
GO_0047068	R04455
GO_0046481	R04469
GO_0047368	R04476
GO_0047584	R04478
GO_0047373	R04490
GO_0047176	R04498
GO_0047469	R04510
GO_0047295	R04520
GO_0047377	R04525
GO_0047302	R04529
GO_0047451	R04537
GO_0047907	R04538
GO_0046934	R04545
GO_0047021	R04552
GO_0047592	R04570
GO_0047466	R04576
GO_0047248	R04577
GO_0047071	R04597
